,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,위도,경도
271,B000011848,울산예술고등학교,고등학교,1993-03-09,사립,본교,운영,울산광역시 울주군 웅촌면 대복리 475-1,울산광역시 울주군 웅촌면 웅촌로 621-6,7480000,울산광역시교육청,35.4818641,129.2162738
272,B000025316,신용중학교,중학교,2014-03-01,공립,본교,운영,광주광역시 북구 신용동 672,광주광역시 북구 첨단연신로133번길 32,7380000,광주광역시교육청,35.2107845,126.8609609
273,B000009731,강원체육중학교,중학교,2005-03-02,공립,본교,운영,강원도 춘천시 송암동 129-1,강원도 춘천시 자라우새길 126,7800000,강원도교육청,37.85912229,127.694804
274,B000009833,봉래중학교,중학교,1982-03-05,공립,본교,운영,강원도 영월군 영월읍 덕포리 374,강원도 영월군 영월읍 중리1길 172-17,7800000,강원도교육청,37.18162818,128.4858655
278,B000008640,동촌중학교,중학교,1979-03-01,공립,본교,운영,대구광역시 동구 방촌동 1047-4,대구광역시 동구 동촌로 176,7240000,대구광역시교육청,35.88241653,128.6596318
280,B000009476,가림중학교,중학교,1991-03-01,공립,본교,운영,경기도 광명시 하안동 261,경기도 광명시 오리로 616,7530000,경기도교육청,37.45764308,126.8796742
281,B000012199,대구여자고등학교,고등학교,1954-06-21,공립,본교,운영,대구광역시 수성구 범어동 240-4,대구광역시 수성구 달구벌대로488길 17,7240000,대구광역시교육청,35.85650935,128.629864
282,B000009369,궁내중학교,중학교,1994-03-01,공립,본교,운영,경기도 군포시 산본동 1149-5,경기도 군포시 수리산로 171,7530000,경기도교육청,37.36388636,126.9190776
284,B000025726,아산테크노중학교,중학교,2017-03-01,공립,본교,운영,충청남도 아산시 둔포면 석곡리 1782,충청남도 아산시 둔포면 아산밸리북로 32,8140000,충청남도교육청,36.92648648,127.0518272
285,B000012251,인천만수고등학교,고등학교,2008-03-03,공립,본교,운영,인천광역시 남동구 만수동 605-5,인천광역시 남동구 장승로 91,7310000,인천광역시교육청,37.44709898,126.7422697
288,B000025146,별빛중학교,중학교,2016-03-01,공립,본교,운영,경상북도 영천시 고경면 해선리 240-3,경상북도 영천시 고경면 월천길 1-27,8750000,경상북도교육청,36.00232912,129.0432455
292,B000009920,대성중학교,중학교,1951-09-01,사립,본교,운영,충청북도 청주시 흥덕구 신봉동 171-9,충청북도 청주시 흥덕구 사운로 342,8000000,충청북도교육청,36.6580328,127.4691294
293,B000022777,가재울고등학교,고등학교,2013-03-01,공립,본교,운영,서울특별시 서대문구 북가좌동 476,서울특별시 서대문구 수색로 100-35,7010000,서울특별시교육청,37.57444587,126.9094148
297,B000012187,함지고등학교,고등학교,2008-03-01,공립,본교,운영,대구광역시 북구 구암동 488-3,대구광역시 북구 학정로48길 46,7240000,대구광역시교육청,35.92786841,128.5605125
300,B000011312,고명외식고등학교,고등학교,1956-02-21,사립,본교,운영,서울특별시 성북구 동선동4가 325-1,서울특별시 성북구 북악산로 870,7010000,서울특별시교육청,37.59767468,127.0191869
301,B000012217,경원고등학교,고등학교,1976-03-01,사립,본교,운영,대구광역시 달서구 용산동 6,대구광역시 달서구 새방로 77,7240000,대구광역시교육청,35.86547932,128.525679
302,B000008723,대진중학교,중학교,2006-03-03,공립,본교,운영,대구광역시 달서구 대곡동 1036-1,대구광역시 달서구 화암로73길 7,7240000,대구광역시교육청,35.80572575,128.5195259
304,B000013402,옥종고등학교,고등학교,1973-03-06,공립,본교,운영,경상남도 하동군 옥종면 양구리 41-1,경상남도 하동군 옥종면 옥수로 4-9,9010000,경상남도교육청,35.17816307,127.8845972
305,B000012120,동인고등학교,고등학교,1974-03-05,사립,본교,운영,부산광역시 동래구 사직동 981-90,부산광역시 동래구 쇠미로31번길 34,7150000,부산광역시교육청,35.19852193,129.0509969
