,academy_name,title,local,subject,start_date,end_date
431,천종현사고력수학,"유초등 수학 강사 모집(위례, 천종현수학연구소)",서울 송파구,수학,08.26,09.25
432,제카영어학원,중등부영어학원 전임강사모집,경기 용인시,영어,08.26,09.25
433,광수학,"주5일 중등부(수학전임,파트)  선생님 모십니다!",경기 고양시,수학,08.26,09.22
434,영어종결센터 소사벌학원,중고 영어 강사 모집,경기 평택시,영어,08.26,채용시
435,광명 소마사고력 수학학원,광명소마사고력수학 교사모집,경기 광명시,수학,08.26,채용시
436,삼성영어 쎈수학 러닝센터...,삼성영어 위례숲 교실에서 영어강사님 및 실장님을 초빙합니다.,경기 하남시,영어,08.26,채용시
437,후곡에듀플렉스학원,초중고 대상 학습 매니저 선생님 구합니다.,경기 고양시,자기주도/학습코칭,08.26,09.25
438,티엘수능입시학원,"서초구 중,고등 대상 학원 수학 선생님 모십니다.",서울 서초구,수학,08.26,채용시
439,EIE 고려대 국제어학원 김...,교수부장 및 팀장 중간관리자 채용합니다!!,경기 김포시,영어,08.26,09.25
440,하이영수학원,"영어 파트 타임/ 부평구청역(7호선) 인근/ 월, 수 4시간/ 월 70+",인천 부평구,영어,08.26,09.25
441,EKEDU(주),영어 내신 강사 및 토플 강사,경기 성남시,영어,08.26,채용시
442,나랏말씀국어학원,중등부 국어 선생님[전임 및 파트]을 모십니다.,서울 광진구,국어,08.26,09.25
443,영어종결센터 하안학원,중고등 영어 전임 선생님,경기 광명시,영어,08.26,채용시
444,이스턴어학원,영어 강사(보충교사) 모집합니다.  4시간근무,경기 김포시,영어,08.25,09.24
445,서울에듀학원,남양주시 평내동 중등수학선생님을 모십니다,경기 남양주,수학,08.25,09.24
446,소리영어수리수학,소리영어수리수학 학원에서 영어선생님 모십니다.,충북 청주시,영어,08.25,09.24
447,라온학원,녹양동 학원에서 초중고 수학 파트 선생님 구합니다.,경기 의정부,수학,08.25,09.24
448,더채움수학전문학원,"초,중등 선생님 구합니다",서울 광진구,수학,08.25,채용시
449,블러썸영어학원,"젊고 유능하신 중,고등부 영어 선생님을 모십니다.",인천 연수구,영어,08.25,09.24
450,지노수학과학 학원,하남시 수학과학전문학원에서 중등수학 선생님을 모셔봅니다,경기 하남시,수학,08.25,09.24
451,대치동토모수학,"인연을 믿습니다. 지원해 주세요!! (초등,중등 수학선생님 구인)",경기 성남시,수학,08.25,채용시
452,에벤학원,중.고등 수학 전임/파트 타임 강사,경기 화성시,수학,08.25,채용시
453,GnB영어전문학원(부평캠퍼...,인천 계산동 [ 초등~고1 영어선생님 ] 모십니다,인천 계양구,영어,08.25,09.19
454,양나무수학학원,초중고 수학 강사 구인,경기 수원시,수학,08.25,채용시
455,신승환영어학원,-급구-초.중등부 영어 강사 (평택),경기 평택시,영어,08.25,채용시
456,서울탑텐 학습센터,서귀포 서울탑텐학원에서 함께 성장할 선생님을 모십니다.,제주 서귀포,수학,08.25,채용시
457,참된인재학원,■[고등영어]전임 선생님을 모십니다.,경기 부천시,영어,08.25,09.23
458,이룸 국영수 학원,인천 계양구 국어 선생님 모십니다,인천 계양구,국어,08.25,09.24
459,대한논리속독염창학원,국어 독서 논술 선생님을 채용 중 입니다.,서울 강서구,독서/논술,08.24,채용시
460,청운학원,"[의정부 청운]수능 영어 강사 모집 (주2일) 수,금",경기 의정부,영어,08.24,채용시
461,더채움해법영어수학학원,초등 수학 영어 학원 선생님 구인합니다,인천 서구,수학,08.24,채용시
462,이현주어학원,이현주어학원에서 선생님을 채용합니다.,서울 마포구,영어,08.24,09.23
463,갈매지앤비영어학원,"초등, 중등 전임 영어선생님 구합니다.",경기 구리시,영어,08.24,채용시
464,차수학앤국풍2000학원,"초.중등부 수학 국어강사 , 고등부 수학강사 전임, 파트  모집",경기 시흥시,수학,08.24,09.23
465,춘천종로엠스쿨,종로엠스쿨 춘천직영점 영어/수학/상담 선생님 모집,강원 춘천시,수학,08.24,채용시
466,뱅크스리어학원,산본역/고등부 화목 /2시간 파트 영어 강사/시급3만원,경기 군포시,영어,08.24,채용시
467,더웰학원,초/중등/고등부 수학강사 4분/영어강사2분  모십니다.,경기 수원시,수학,08.24,09.23
468,하이츠수학,이현주어학원에서 선생님을 채용합니다.,서울 마포구,영어,08.24,채용시
469,TMS이룸수학학원,[초/중등] 수학선생님을 모십니다.,인천 연수구,수학,08.24,채용시
470,아이비프렙&아르케 아카데...,중등부 내신 관리,서울 종로구,영어,08.24,09.23
471,루시앤입시학원,루시앤영어학원,대구 북구,영어,08.23,09.22
472,아이디어스 아카데미,수학 중등부 강사 모집합니다.,서울 구로구,수학,08.23,10.03
473,한솔플라톤(한솔교육),요즘 학교는 자기 생각을 묻고 답하는 플라톤 식,서울 마포구,독서/논술,08.23,09.22
474,자호수학,동탄 1신도시 수학학원에서 초중등 / 중고등선생님을 구합니다.,경기 화성시,수학,08.23,09.22
475,프린스턴수학전문,중고 수학강사를 채용중입니다.,경기 의정부,수학,08.23,09.22
476,제니스학원,수학 전임 선생님 구합니다.,부산 사하구,수학,08.23,채용시
477,삼성영어,초중 수학강사,인천 계양구,수학,08.23,채용시
478,한국영재교육센터수학학원,(종로학원하늘교육 분당정자) 초/중등 수학 강사 모집,경기 성남시,수학,08.23,09.22
479,리즈멘토 스터디,초중등 영어 선생님 모십니다!!,경기 김포시,영어,08.23,채용시
480,일퍼센트수학원,중등 / 고등 내신 대비 강사님 모십니다.,경기 광주시,수학,08.22,09.21
481,평촌설연고학원,"설연고학원 - 중, 고등부 수학 강사를모집합니다.",경기 안양시,수학,08.22,09.21
482,대성학원,[서인천 대성학원] 하반기 영어 수학 전임.파트선생님모집합니다,인천 서구,수학,08.22,09.21
483,아이빅학원,"초, 중등 수학강사 모집 주 2회(화, 금요일)",경기 용인시,수학,08.22,09.21
484,평내카이로스 수학학원,중등수학쌤,경기 남양주,수학,08.21,채용시
485,수학의숲,[목동 수학의숲] 초중고 주말 파트 수학 선생님/상담 선생님,서울 양천구,수학,08.21,채용시
486,해법독서논술 김주희국어,초중등국어논술 파트 강사 모집합니다.,경기 성남시,국어,08.21,09.20
487,수만휘기숙학원본원,기숙학원에서 열정적으로 학생들을 가르칠 강사님을 찾습니다,경기 안성시,수학,08.21,채용시
488,이스턴어학원,삼성영어에서 선생님 구합니다,경기 김포시,영어,08.21,채용시
489,(주)막강수학,"수학,영어 강사 모십니다.",서울 강남구,수학,08.21,채용시
490,삼성영어 서울서북부지사,초/중등 수학 선생님 모집,서울 마포구,수학,08.21,채용시
491,비투게더,온 오프 교육브랜드 비투게더 영어강사님 수학강사님 대모집,경기 의정부,영어,08.21,09.20
492,성공의신화학원,시흥은계지구 초등 논술 선생님 모십니다,경기 시흥시,국어,08.21,채용시
493,한정원수학영어학원,[남양주시 덕소][전임][주5일][중등수학],경기 남양주,수학,08.20,09.19
