"행정구역(시군구)별(1)",행정구역(시군구)별(2),2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역(시군구)별(1)",행정구역(시군구)별(2),급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액,급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액,급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액,급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액
"행정구역(시군구)별(1)",행정구역(시군구)별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"인천",강화군,16617,465083,16496,461539,14114,228792,8601,17351,16947,501111,16686,497778,14591,252879,9476,19648,17769,542466,17584,538991,15431,277027,10309,21585,18457,580350,18228,576903,16117,300308,11065,24112
"인천",계양구,118341,3177103,117864,3155754,100688,1494863,60190,92636,115930,3235988,115428,3217046,100019,1549731,62723,97640,115964,3375369,115471,3355163,101568,1650926,65765,106771,116028,3465097,115518,3444659,102338,1707440,68751,110900
"인천",미추홀구,144365,3738032,143705,3713003,122745,1725209,73603,96950,145574,3938522,144741,3915098,125294,1853943,78464,107568,148166,4170480,147167,4145262,128952,2003091,83074,120768,149099,4321603,148371,4297516,130954,2093141,86919,126877
"인천",남동구,198052,5808628,197366,5769046,171320,2842691,107150,196098,201133,6153649,200345,6116199,175412,3070152,114960,220548,204461,6497706,203668,6459181,180348,3296166,121006,247495,206416,6728459,205796,6691258,183245,3433285,126261,257774
"인천",동구,23672,638751,23622,634890,20546,296945,12489,16317,22908,639655,22857,636420,20030,302866,12580,17050,22570,658775,22514,655247,20052,318748,13250,18458,22310,667824,22251,664408,20001,324803,13613,18639
"인천",부평구,193564,5574627,192958,5538274,167005,2720370,102851,188293,190694,5686158,190072,5653343,165987,2813730,106717,197755,192143,5934673,191554,5900007,169286,2988851,112229,215859,189424,6012506,188839,5978749,168575,3037400,115201,217980
"인천",서구,192051,5822861,191436,5777262,166670,2879692,104877,209240,205137,6533479,204429,6487286,180046,3295490,118984,248266,215812,7182505,215118,7133932,191386,3693375,130343,292203,220757,7561718,220075,7513088,197561,3909566,138397,314061
"인천",연수구,126513,4999229,126094,4960740,109942,2832370,76556,312166,133014,5540970,132523,5501794,116690,3202996,84313,372831,146133,6328133,145641,6285775,130002,3689950,95782,437676,157315,6987847,156898,6944424,140822,4073275,106012,485856
"인천",옹진군,6857,233663,6775,231291,6080,118582,4469,8193,6720,241102,6608,238912,6028,124835,4606,9037,6670,247587,6581,245521,6041,130187,4682,9734,6719,253660,6618,252040,6046,134889,4812,10471
"인천",중구,43587,1346348,43445,1334702,37969,671381,24723,48395,46437,1482402,46263,1470534,40733,750643,27474,55251,53998,1803664,53818,1790674,48064,927700,33299,69405,59077,2035945,58918,2022298,52993,1050223,37783,79573
