19,전북,5분위,73586,52598,151965,40665,57178,86257,38723,57191,82667,1942,56911,3590,32921,46940,65708,74830,54691,153918,42245,60296,88557,40128,60291,84574,2117,60392,3983,32585,47423,65361,75631,57317,152421,43266,62200,87543,41060,62182,83505,2206,62552,4038,32365,50789,64878,78911,60490,156362,46434,64670,91481,44046,64629,87371,2388,65412,4110,32477,54514,64881,77975,62679,151040,44638,67237,86238,42225,67186,82245,2413,68124,3993,33337,56577,64802,81499,833282,151758,46696,1070523,86809,43984,1069951,82563,2712,1081119,4246,34803,579968,64949,83557,64154,152314,48070,77409,86782,44784,77385,81825,3286,77732,4957,35487,46198,65532
20,전북,6분위,71785,68810,166530,40197,69652,93478,36504,69631,86049,3693,69858,7429,31588,67738,73052,72837,71688,166974,41503,73433,95576,37469,73375,87644,4034,73971,7932,31334,69376,71398,73064,74725,161377,43352,75632,96143,39502,75549,88989,3850,76481,7154,29712,73401,65234,72724,78336,157138,43938,78590,94915,39925,78541,87605,4013,79080,7310,28786,77949,62223,73759,81154,155882,45108,81149,95133,41141,81114,88048,3967,81512,7085,28651,81162,60749,77581,1122767,155003,46445,1276335,93235,42125,1275262,85899,4320,1284884,7336,31136,952048,61768,78632,84745,152895,47723,91542,92446,42707,91495,84240,5016,91942,8206,30909,74249,60449
21,전북,7분위,65386,88256,166441,37762,85589,99306,32125,85526,85786,5637,85949,13520,27624,91901,67135,68896,91959,173675,41116,90517,107501,34387,90371,91068,6729,91263,16433,27780,94093,66174,70272,95474,173061,42308,93200,107919,36180,93015,93518,6128,94294,14401,27964,98914,65142,72352,99561,173810,44385,96546,109867,38451,96427,96577,5934,97316,13290,27967,104345,63943,72519,102836,168601,44854,99336,107041,38846,99210,94254,6008,100146,12787,27665,108512,61560,70127,1485142,155154,45385,1550804,103252,39525,1548587,91712,5860,1563441,11540,24742,1392627,51902,68157,107827,142466,46785,110267,103002,40485,110192,91138,6300,110746,11864,21372,102487,39464
22,전북,8분위,58608,114244,165006,34484,108376,104227,25863,108079,77946,8621,109267,26281,24124,122632,60779,62435,119271,176873,38226,115150,116691,27199,114566,82549,11027,116588,34142,24209,125778,60182,62970,123355,173644,39379,118162,116806,28785,117652,84988,10594,119545,31818,23591,132023,56838,64285,128183,173890,41049,122258,118725,30252,121718,86962,10797,123769,31763,23236,138652,55165,66087,131812,175372,43027,125453,121652,32558,124850,91770,10469,127329,29882,23060,143676,53720,66966,1941407,167435,43954,1956338,118063,33648,1943420,90491,10306,1988004,27572,23012,1914138,49372,70166,136863,168266,46111,138264,118194,35920,137651,91751,10191,140424,26443,24055,134179,50072
23,전북,9분위,58766,151824,192599,38875,146040,140220,22778,145223,81780,16097,147195,58440,19891,163130,52379,66402,157681,215730,46047,153517,162664,23483,152404,82953,22564,154676,79711,20355,167100,53066,66962,162850,212257,46965,157894,161694,24835,156716,85148,22130,159216,76546,19997,174490,50563,67406,169008,210114,47667,163619,160829,26026,162313,87062,21641,165190,73767,19739,182022,49285,68025,173990,208756,48278,168465,160315,27007,166946,89174,21271,170393,71141,19747,187499,48441,70884,2646240,207627,49522,2631970,158638,28390,2580391,89877,21132,2670679,68761,21362,2679814,48989,73646,185510,209932,51428,184319,160496,30471,182395,93761,20957,187116,66735,22218,188270,49436
24,전북,10분위,48009,243507,163967,32311,240158,120428,23943,256956,92207,8368,192096,28221,15698,250399,43539,49949,259714,167035,34112,260577,123464,24599,281806,92286,9513,205682,31178,15837,257856,43571,52436,258966,174799,36870,255261,132980,25672,275366,95998,11198,209168,36982,15566,267742,41819,54016,267994,177489,38877,263908,137251,27158,285251,99415,11719,214448,37836,15139,278485,40238,55632,275633,180201,40529,271679,140659,27853,293906,100129,12676,222840,40530,15103,286244,39542,56205,4276119,174623,40558,4101266,135205,27744,4627156,95527,12814,3386994,39678,15647,4797495,39418,56906,309094,171291,40845,303220,131758,28212,329963,93643,12633,243497,38115,16061,324034,39533
25,전남,계,723602,69406,1627342,393155,81925,1000964,350215,77333,865152,42940,119377,135812,330447,54510,626378,750771,73367,1677060,421327,87054,1058421,362655,80668,879927,58672,126529,178494,329444,55861,618639,765211,76752,1676675,442448,89597,1080165,383159,82802,904404,59289,133510,175761,322763,59145,596510,778342,80305,1677547,456160,93223,1088589,396513,86416,915744,59647,138476,172845,322182,62014,588958,793039,83199,1674134,467409,96680,1087506,406558,89762,916446,60851,142897,171060,325630,63850,586628,822140,1600268,1670481,492085,2046046,1092759,429800,1827353,927195,62285,3179127,165564,330055,1073127,577722,854715,89601,1670149,517046,108135,1097572,454435,101815,937206,62611,154008,160366,337669,61222,572577
26,전남,1분위,114301,13178,171846,47864,23970,98320,47394,23945,97460,470,26519,860,66437,5403,73526,118230,13325,175021,49461,24335,98595,48821,24328,97432,640,24864,1163,68769,5407,76426,114969,14187,167019,49407,25696,94367,49096,25680,93861,311,28221,506,65562,5514,72652,115498,14864,165910,51206,26540,94609,50770,26499,93931,436,31240,678,64292,5565,71301,119454,15249,169524,52792,27470,95719,52549,27452,95353,243,31433,366,66662,5570,73805,123954,329511,179558,56200,646754,96100,55853,645810,95566,347,721390,534,67754,120488,83458,130204,17720,183070,57460,31658,92668,57147,31616,92167,313,39322,501,72744,6711,90402
27,전남,2분위,83924,23758,141828,45495,32680,90390,44512,32683,88596,983,32527,1794,38429,13196,51438,81619,25738,140465,48351,34589,95637,47311,34582,93839,1040,34904,1798,33268,12873,44828,85329,27320,144050,51088,36607,98487,50287,36609,97138,801,36468,1349,34241,13464,45563,88697,28891,148308,53168,38855,100930,52364,38850,99634,804,39243,1296,35529,13981,47378,90268,30019,148748,54416,40764,100814,53547,40763,99541,869,40834,1273,35852,13709,47934,105277,623705,170631,57593,1019978,102544,56398,1019941,100836,1195,1026847,1708,47684,234511,68087,104344,34942,162965,59891,52164,102230,58757,52184,100600,1134,51166,1630,44453,11740,60735
28,전남,3분위,76457,30910,136663,41712,39399,82449,40240,39400,79668,1472,39371,2781,34745,20718,54214,80483,32446,142347,45603,41842,89834,43977,41842,86713,1626,41849,3121,34880,20162,52513,81041,34464,140171,47340,43746,89880,45971,43743,87425,1369,43845,2455,33701,21426,50291,83149,36440,141654,49407,45911,91811,48206,45897,89784,1201,46462,2027,33742,22572,49843,85748,38088,144428,52607,48006,95701,51340,47993,93638,1267,48517,2063,33141,22346,48727,78290,1041753,130006,55985,1159730,98661,54417,1159385,96242,1568,1165047,2419,22305,299336,31345,88788,43987,143460,58537,58686,99453,57426,58674,97844,1111,59262,1609,30251,15546,44007
