,행정구역,2016 급여총계 인원 (명),2016 급여총계 금액 (백만원),2016 과세대상근로소득(총급여) 인원 (명),2016 과세대상근로소득(총급여) 금액 (백만원),2017 급여총계 인원 (명),2017 급여총계 금액 (백만원),2017 과세대상근로소득(총급여) 인원 (명),2017 과세대상근로소득(총급여) 금액 (백만원),2018 급여총계 인원 (명),2018 급여총계 금액 (백만원),2018 과세대상근로소득(총급여) 인원 (명),2018 과세대상근로소득(총급여) 금액 (백만원),2019 급여총계 인원 (명),2019 급여총계 금액 (백만원),2019 과세대상근로소득(총급여) 인원 (명),2019 과세대상근로소득(총급여) 금액 (백만원)
36,인천옹진군,6857,233663,6775,231291,6720,241102,6608,238912,6670,247587,6581,245521,6719,253660,6618,252040
37,인천중구,43587,1346348,43445,1334702,46437,1482402,46263,1470534,53998,1803664,53818,1790674,59077,2035945,58918,2022298
38,경기소계,4748235,161196111,4731362,160255989,4903937,174931092,4884250,173994637,5134847,190301943,5116832,189301312,5358357,203302793,5338294,202281374
39,경기가평군,16238,470590,16125,468061,16876,501141,16755,498979,17531,541009,17413,538582,18537,585249,18403,582770
40,경기고양시,367263,13070191,366259,12974288,374452,13845144,373243,13747805,395682,15076188,394386,14974032,412968,16057004,411674,15952594
41,경기과천시,20845,1068165,20765,1061511,21272,1138903,21137,1131964,22175,1222864,22090,1216033,24757,1426949,24638,1419235
42,경기광명시,122242,4012753,121719,3989674,122829,4230916,122265,4208258,122905,4425886,122485,4403923,120421,4544906,119938,4523196
43,경기광주시,129079,3549316,128823,3530559,139496,4073756,138842,4053752,147657,4507524,147116,4483658,155348,4901478,154704,4877284
44,경기구리시,66227,2058061,65978,2046806,69862,2285324,69613,2273560,70754,2394160,70498,2383488,72780,2547881,72567,2536566
45,경기군포시,110738,3831803,110316,3810903,110466,3962253,110056,3942720,112605,4133620,112149,4112638,115454,4302875,115068,4281940
46,경기김포시,147731,4664810,146844,4621679,162343,5410797,161399,5364457,174572,6041122,173760,5990552,191698,6882406,190841,6827048
47,경기남양주시,209875,6143416,209273,6107400,220273,6807236,219536,6770298,235910,7612175,235230,7571623,248027,8253413,247227,8212193
48,경기동두천시,30938,753826,30852,748185,31416,804852,31310,800016,31749,850953,31595,845323,32209,896988,32035,891626
49,경기부천시,313823,9125937,312782,9065738,317454,9680039,316214,9621747,321404,10188085,320237,10127255,325798,10659954,324619,10601549
50,경기성남시,370967,15753539,370185,15664383,369392,16629729,368502,16541932,375782,17507154,374999,17418515,386583,18538439,385745,18448794
51,경기수원시,467882,17506569,466397,17427388,474241,18623591,472602,18544153,485357,19884010,483881,19800361,496446,20619713,494957,20537329
52,경기시흥시,169279,4666247,168191,4639514,184930,5483020,183809,5455943,201725,6212916,200579,6180276,217213,6973752,215965,6939565
